Name,Address,Rating,Website,Cuisine Type,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Total_Weekly_Hours,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_Hours,Friday_Hours,Saturday_Hours,Sunday_Hours
TACOPOLIS (LA CAPITAL DEL TACO),"4857 W 38th St, Indianapolis, IN 46254, United States",4.4,https://www.instagram.com/tacopolisin/?hl=en,Mexican,,,3:00,11:30 PM,3:00,11:30 PM,3:00,11:30 PM,2:30 PM,12:00 AM,2:30 PM,12:30 AM,,,19.5,0.0,0.0,0.0,0.0,9.5,10.0,0.0
T'Days Jerk,"36 E Troy Ave, Indianapolis, IN 46225, United States",4.4,http://tdaysjerk.com/,Unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tacos Tierra caliente Restaurant,"5035 W Washington St, Indianapolis, IN 46241, United States",4.8,http://tacostierracaliente.com/?utm_source=gmb&utm_medium=referral,Mexican,11:00 AM,12:00 AM,11:00 AM,11:00 PM,11:00 AM,12:00 AM,11:00 AM,12:00 AM,11:00 AM,12:59 AM,11:00 AM,12:59 AM,,,78.96666666666667,13.0,12.0,13.0,13.0,13.983333333333333,13.983333333333333,0.0
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, United States",4.3,https://taqueria-mi-costa.business.site/,Unknown,,,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,12:00,11:00 PM,60.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0
Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, United States",4.4,http://www.facebook.com/El-Volkan-Mexican-Restaurant-346354408845765/,Mexican,5:00,10:55 PM,5:00,10:55 PM,5:00,10:55 PM,11:00 AM,10:55 PM,11:00 AM,11:50 PM,11:00 AM,11:50 PM,5:00,10:55 PM,37.583333333333336,0.0,0.0,0.0,11.916666666666666,12.833333333333334,12.833333333333334,0.0
The Latin Flavor,"9930 E 38th St, Indianapolis, IN 46235, United States",5.0,https://www.facebook.com/thelatinflavorfoodtruck/,Unknown,12:00,10:00 PM,12:00,10:00 PM,12:00,10:00 PM,12:00,10:00 PM,12:00,11:00 PM,12:00,11:00 PM,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birrieria Iturbidense,"Lot Food Truck, 6302 W Washington St, Indianapolis, IN 46241, United States",4.7,,Unknown,,,,,6:00 PM,12:00 AM,6:00 PM,12:00 AM,6:00 PM,1:00 AM,6:00 PM,1:00 AM,6:00,11:00 PM,26.0,0.0,0.0,6.0,6.0,7.0,7.0,0.0
ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, United States",4.9,http://clustertruck.com/,Unknown,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,3:00,9:00 PM,,,50.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0
Fast-Taco's,"6154 Michigan Rd, Indianapolis, IN 46228, United States",4.4,,Mexican,7:00 PM,1:00 AM,7:00 PM,1:00 AM,7:00 PM,1:00 AM,7:00 PM,1:00 AM,7:00 PM,1:00 AM,7:00 PM,3:00 AM,7:00 PM,12:00 AM,43.0,6.0,6.0,6.0,6.0,6.0,8.0,5.0
Taste Of Cholulas,"8901-8925 E Washington St, Indianapolis, IN 46219, United States",4.2,https://m.yelp.com/biz/taste-of-cholulas-indianapolis,Unknown,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,49.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
"F & M Assembly, LLC","1164 W 30th St, Indianapolis, IN 46208, United States",4.7,,Unknown,,,,,,,,,,,,,12:00,5:00 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave, Indianapolis, IN 46222, United States",4.3,https://www.facebook.com/pages/category/Hot-Dog-Joint/Dogs-to-go-by-uncle-zo-891773400966722/,Unknown,,,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,,,35.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0
Super Tacos,"5653 W Washington St, Indianapolis, IN 46241, United States",4.1,,Mexican,5:00,9:00 PM,5:00,9:00 PM,5:00,9:00 PM,5:00,9:00 PM,5:00,9:00 PM,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, United States",4.7,https://www.express.gauchosfire.com/,Unknown,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,9:00 PM,79.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0
Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46224, United States",4.5,,Unknown,6:00 PM,2:00 AM,6:00 PM,2:00 AM,6:00 PM,2:00 AM,6:00 PM,2:00 AM,4:00 PM,4:00 AM,4:00 PM,4:00 AM,,,56.0,8.0,8.0,8.0,8.0,12.0,12.0,0.0
El Pastor Taco Truck,"1053997, Indianapolis, IN 46201, United States",4.7,,Mexican,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Funnel Frenzy,"2434 N Keystone Ave, Indianapolis, IN 46218, United States",0.0,,Unknown,,,,,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,52.0,0.0,0.0,11.0,11.0,11.0,11.0,8.0
T Street Eatz,"City Market, 222 E Market St, Indianapolis, IN 46204, United States",4.7,http://www.tstreeteatzindy.com/,Unknown,11:30 AM,4:00 PM,11:30 AM,4:00 PM,11:30 AM,8:00 PM,11:30 AM,4:00 PM,11:30 AM,4:00 PM,11:30 AM,4:00 PM,,,31.0,4.5,4.5,8.5,4.5,4.5,4.5,0.0
